Player,Salary
Davante Adams,"$12,000,000 "
Montravvius Adamses,"$825,000 "
Jaire Alexander,"$1,575,522 "
Adrian Amos,"$1,750,000 "
David Bakhtiari,"$10,500,000 "
Tim Boyle,"$750,000 "
Harry Bradford,"$750,000 "
James Burger,
Oren Burkss,"$750,000 "
Kenny Clark Bar,"$1,690,000 "
Mason Krosbe,"$1,400,000 "
Tyler Ervin,"$910,000 "
Jonathan Garmin GPS,"$610,000 "
Rashan Gary,"$1,216,696 "
Raven Greene,"$675,000 "
Ka'dar Hollman,"$675,000 "
Josh Jackson,"$1,048,736 "
Elgton Jenkins,"$802,597 "
yaron Johnson,"$2,133,000 "
Kingsley Kek,"$675,000 "
Kevin King,"$1,430,575 "
Christian Kirksey,"$1,750,000 "
Tyler Lancaster,"$750,000 "
Allen Lazard,"$675,000 "
Marcedes Benz Lewis,"$1,100,000 "
Corey Linsley,"$7,650,000 "
Jordan Love,"$610,000 "
Dean Lowry,"$1,000,000 "
Kamal Martin,"$400,000 "
Yosuah Nijman,"$675,000 "
Lucas Patrick,"$875,000 "
Randy Ramsey,"$610,000 "
Will Redmond,"$750,000 "
Aaron Rodgers,"$1,550,000 "
Jon Runyan,"$610,000 "
Darnell Savage ,"$1,063,986 "
J Scott,"$750,000 "
Vernon Scott,"$610,000 "
Darrius Shepherd,"$595,590 "
Preston Smith,"$4,350,000 "
ZaDarius Smith,"$2,000,000 "
Equanimeous Brown,"$439,706 "
Jace Sternberger,"$675,000 "
Chandon Sullivan,"$750,000 "
Tyler Summers,"$675,000 "
Malik Taylor,"$610,000 "
Robert Tonyan,"$750,000 "
Billy Turner,"$2,200,000 "
Marquez Valdez-Scantling,"$750,000 "
Ricky Wagner,"$2,250,000 "
Jamal Williams,"$2,133,000 "
Billy Winn,
Team Total,
